title,yearOfRelease,rating
The Arrival of a Train at La Ciotat,1896,5
A Trip to the Moon,1902,7
The Birth of a Nation,1915,3
Nosferatu,1922,7
The Ten Commandments,1923,5
Battleship Potemkin,1925,8
The Gold Rush,1925,6
The Mummy,1932,6
The Naked Truth,1932,5
Duck Soup,1933,6
The Great Dictator,1940,6
Citizen Kane,1941,8
Casablanca,1942,9
Rope,1948,9
Singin' in the Rain,1952,7
Mit siebzehn beginnt das Leben,1953,6
All That Heaven Allows,1955,7
12 Angry Men,1957,8
A Movie,1958,6
Vertigo,1958,7
La Jetée,1962,6
Dinner for One,1963,6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8
Goldfinger,1964,6
Viva Las Vegas,1964,4
Runaway Girl,1965,3
Fahrenheit 451,1966,6
Asterix the Gaul,1967,6
2001: A Space Odyssey,1968,9
Asterix and Cleopatra,1968,6
Yellow Submarine,1968,6
The Aristocats,1970,5
They Call Me Trinity,1970,5
A Clockwork Orange,1971,8
The Beguiled,1971,6
Badlands,1973,7
The Exorcist,1973,7
The Long Goodbye,1973,8
Ali: Fear Eats the Soul,1974,7
Black Christmas,1974,7
A Man with a Maid,1975,5
Jaws,1975,9
Monty Python and the Holy Grail,1975,9
Picnic at Hanging Rock,1975,2
The Rocky Horror Picture Show,1975,7
Network,1976,8
Taxi Driver,1976,8
Star Wars,1977,8
The Man in the Iron Mask,1977,6
Grease,1978,6
Apocalypse Now,1979,9
Life of Brian,1979,9
Woyzeck,1979,6
Airplane!,1980,10
The Blues Brothers,1980,6
The Empire Strikes Back,1980,9
The Last Witness,1980,8
The Shining,1980,9
My Dinner with Andre,1981,8
Raiders of the Lost Ark,1981,8
Blade Runner,1982,7
Gandhi,1982,6
Pink Floyd: The Wall,1982,6
The King of Comedy,1982,8
The Thing,1982,10
Monty Python's The Meaning of Life,1983,4
One Deadly Summer,1983,5
Return of the Jedi,1983,8
Abnormal Family,1984,6
Ghostbusters,1984,8
Gremlins,1984,5
Indiana Jones and the Temple of Doom,1984,8
Police Academy,1984,6
The NeverEnding Story,1984,5
Asterix vs. Caesar,1985,6
Back to the Future,1985,8
The Breakfast Club,1985,6
Asterix in Britain,1986,6
Children of a Lesser God,1986,4
Pirates,1986,5
Stand by Me,1986,7
The Name of the Rose,1986,6
Top Gun,1986,2
A Muppet Family Christmas,1987,6
Full Metal Jacket,1987,6
Spaceballs,1987,7
The Lost Boys,1987,6
A Fish Called Wanda,1988,7
Crocodile Dundee II,1988,4
Die Hard,1988,8
My Neighbor Totoro,1988,8
Scrooged,1988,7
The Naked Gun: From the Files of Police Squad!,1988,7
Twins,1988,5
Asterix and the Big Fight,1989,6
Batman,1989,8
Bill & Ted's Excellent Adventure,1989,6
Dead Poets Society,1989,6
Ghostbusters II,1989,6
Indiana Jones and the Last Crusade,1989,8
The Little Mermaid,1989,6
Turner & Hooch,1989,6
Twin Peaks,1989,10
Kindergarten Cop,1990,4
Pretty Woman,1990,6
Total Recall,1990,6
Tremors,1990,6
Barton Fink,1991,9
Beauty and the Beast,1991,5
Hook,1991,4
Hot Shots!,1991,8
Night on Earth,1991,9
The Naked Gun 2½: The Smell of Fear,1991,7
The Silence of the Lambs,1991,7
Aladdin,1992,5
Army of Darkness,1992,8
Batman Returns,1992,7
Death Becomes Her,1992,6
Glengarry Glen Ross,1992,8
Home Alone 2: Lost in New York,1992,5
Reservoir Dogs,1992,9
Sister Act,1992,5
Beethoven's 2nd,1993,2
Cool Runnings,1993,5
Dazed and Confused,1993,7
Groundhog Day,1993,8
Hot Shots! Part Deux,1993,7
Jurassic Park,1993,7
Kalifornia,1993,5
Manhattan Murder Mystery,1993,7
Mrs. Doubtfire,1993,4
Robin Hood: Men in Tights,1993,5
Sister Act 2: Back in the Habit,1993,4
True Romance,1993,6
What's Eating Gilbert Grape,1993,6
Asterix Conquers America,1994,5
Dumb and Dumber,1994,2
Ed Wood,1994,8
Junior,1994,3
Léon: The Professional,1994,5
Naked Gun 33⅓: The Final Insult,1994,6
Pulp Fiction,1994,9
Ri¢hie Ri¢h,1994,3
"Surf, Sand and Sex",1994,5
The Flintstones,1994,3
The Lion King,1994,8
The Mask,1994,6
The Santa Clause,1994,5
The Shawshank Redemption,1994,8
Bad Boys,1995,4
Before Sunrise,1995,8
Braveheart,1995,6
Casino,1995,8
Casper,1995,5
Dangerous Minds,1995,4
Four Rooms,1995,5
GoldenEye,1995,6
Jumanji,1995,7
Living in Oblivion,1995,3
Mortal Kombat,1995,6
Pocahontas,1995,5
Se7en,1995,8
Showgirls,1995,3
Strange Days,1995,6
Toy Story,1995,6
